Date,Open,High,Low,Close,Volume
2019-09-03,82.53,82.97,80.06,81.025,472880
2019-09-04,82.05,82.3459,79.605,80.81,763500
2019-09-05,81.67,81.8,80.15,81.05,563331
2019-09-06,81,81.22,79.84,80.44,396920
2019-09-09,80.43,80.43,78.955,80.1,601866
2019-09-10,79.89,81.9,78.97,81.83,526760
2019-09-11,81.72,83.07,80.6,82.92,408451
2019-09-12,83.02,83.48,79.26,79.82,480721
2019-09-13,80.33,83.14,79.98,80.69,637665
2019-09-16,80.55,83.89,79.71,83.53,424598
2019-09-17,83.48,86.1852,81.72,85.87,731072
2019-09-18,86.11,86.3465,83.7,84.2,445506
2019-09-19,84.68,87.85,84.68,85.92,535135
2019-09-20,86.49,87.08,84.77,85.99,798739
2019-09-23,86.01,86.295,84.76,85.08,363052
2019-09-24,85.53,85.87,84.53,85.43,600785
2019-09-25,85.42,86.48,84.73,85,413761
2019-09-26,85.15,85.15,81.755,82.2,482679
2019-09-27,82.14,82.765,80.2,80.84,534838
2019-09-30,80.84,81.11,78.45,79.75,552187
2019-10-01,80.2,80.67,77.51,78.36,580929
2019-10-02,78.03,79.8,77.3,79.42,668157
2019-10-03,79.11,79.7,77.85,78.31,388655
2019-10-04,78.45,79.46,76.33,79.19,474259
2019-10-07,79.01,80.77,78.51,79.95,522690
2019-10-08,79.6,80.05,78.16,78.71,356195
2019-10-09,78.95,80.64,78.54,79.71,480615
2019-10-10,80.11,81.37,79.45,80.75,327398
2019-10-11,81.24,83.02,81.24,81.89,273390
2019-10-14,81.59,82.41,80.82,81.25,313803
2019-10-15,81.26,82.27,81.26,81.97,510915
2019-10-16,82.19,84.06,81.07,81.76,422939
2019-10-17,81.93,82.75,81.28,81.67,254078
2019-10-18,81.43,82.78,80.6,82.14,517308
2019-10-21,83.23,84.59,82.53,84.03,320985
2019-10-22,84.42,85.16,83.265,84.26,270271
2019-10-23,84.25,85,83.92,84.18,271496
2019-10-24,84.47,84.73,81.86,83.3,236944
2019-10-25,82.99,84.62,82.75,84.07,341250
2019-10-28,84.39,87.35,84.39,86.51,447209
2019-10-29,86.77,87.27,85.57,86.99,478481
2019-10-30,92,95.76,89.44,90.99,1774544
2019-10-31,91.07,92.33,89.42,89.84,786296
2019-11-01,89.77,92.075,88.63,89.96,576499
2019-11-04,90.32,90.98,88.89,90.14,430276
2019-11-05,90.02,92.18,89.76,91.57,490784
2019-11-06,91.51,91.72,90.07,90.28,423633
2019-11-07,90.82,91.77,90.27,90.63,281028
2019-11-08,90.29,92.24,90,91.61,269721
2019-11-11,90.99,91.35,90.52,90.96,265582
2019-11-12,90.71,91.15,89.05,89.57,282005
2019-11-13,88.97,89.09,87.825,88.49,392747
2019-11-14,88.36,90.13,87.485,89.53,324512
2019-11-15,90.02,91.11,89.64,90.43,353935
2019-11-18,90.23,92.19,89.89,90.66,557202
2019-11-19,91.26,94.61,91.26,92.52,358889
2019-11-20,92.25,95.88,92.25,94.83,654101
2019-11-21,95.04,95.04,92.57,93.4,355657
2019-11-22,93.81,94.47,92.55,93.01,328010
2019-11-25,93.45,95.47,93.15,95.34,426400
2019-11-26,95.63,95.9,93.2,93.54,238238
2019-11-27,93.98,94.08,92.75,93.87,251462
2019-11-29,93.22,93.69,92.19,92.26,188294
2019-12-02,92.49,93.41,90.92,91.82,417532
2019-12-03,88.67,89.92,87.545,89.22,712440
2019-12-04,89.03,91.39,88.825,91.34,478950
2019-12-05,91.59,91.79,89.93,90.23,363255
2019-12-06,91,91.91,90.975,91.61,272659
2019-12-09,91.78,92.62,91.03,91.05,347356
2019-12-10,91.08,93.1,91.08,93.03,503278
2019-12-11,92.89,94.58,92.26,92.49,443235
2019-12-12,92.75,93.84,92.32,93.76,253575
2019-12-13,92.51,93.325,88.76,89.63,545243
2019-12-16,89.35,91.51,88.42,90.95,403277
2019-12-17,91.26,91.26,88.28,89.43,527838
2019-12-18,89.58,89.84,88.02,89.71,434235
2019-12-19,89.82,90.405,89.26,89.46,281321
2019-12-20,89.49,90.64,88.43,90.39,724498
2019-12-23,90.76,91.11,89.56,90.9,279709
2019-12-24,90.89,91.42,90.27,91.4,163893
2019-12-26,91.27,91.29,89.23,89.46,247273
2019-12-27,89.64,89.835,88.02,88.83,276424
2019-12-30,88.65,89.26,86.77,86.91,399622
2019-12-31,86.91,88.42,86.86,88.08,378786
2020-01-02,88.35,88.35,87,87.66,354008
2020-01-03,86.64,87.635,86.2,86.46,323365
2020-01-06,86.09,86.84,85.02,86.57,365254
2020-01-07,86.12,87.26,85.54,86.91,291756
2020-01-08,86.95,88,86.39,87.16,332981
2020-01-09,87.75,87.96,86.4,87.57,317099
2020-01-10,87.45,87.9,85.4,85.67,432547
2020-01-13,85.82,86.46,83.76,86.2,393768
2020-01-14,86.51,92,86.46,91.79,726146
2020-01-15,91.27,93.5,91.27,92.44,684920
2020-01-16,93.21,95.24,92.56,94.13,487322
2020-01-17,94.48,94.75,92.5,93.13,482282
2020-01-21,92.86,93.4,91.735,91.88,305902
2020-01-22,91.95,92.6,91,92.44,366755
2020-01-23,92.49,92.9,90.24,90.87,302977
2020-01-24,91.08,91.35,88.5,89.33,351747
2020-01-27,88.42,90.91,88.19,90.05,325314
2020-01-28,90.56,93.8,89.3,93.2,560506
2020-01-29,93.29,97.43,92.605,96.42,754803
2020-01-30,95.47,100.09,94.825,96.35,483882
2020-01-31,99.04,99.48,97.02,97.67,386085
2020-02-03,94.17,96.585,90.02,95.56,1108956
2020-02-04,95.25,96.85,95.25,96.65,351850
2020-02-05,97.21,103.41,97.21,101.47,566247
2020-02-06,102.08,102.505,100.54,101.44,440828
2020-02-07,101.44,101.57,99.56,100.52,425955
2020-02-10,100.84,100.84,98.51,100.02,311908
2020-02-11,100.21,101.65,99.06,101.15,345134
2020-02-12,101.89,105.93,101.7,104.46,899293
2020-02-13,105,105.455,103.652,103.99,336567
2020-02-14,104.26,105.3,103.23,104.19,236783
2020-02-18,104.03,106.11,103.13,105.98,246722
2020-02-19,106.41,107.825,106.24,106.92,391389
2020-02-20,106.94,108.12,105.74,107.42,407543
2020-02-21,107.29,108.44,106.71,106.96,528308
2020-02-24,112.01,116.98,111.07,115.35,1038618
2020-02-25,116.42,116.64,110.06,112.86,763318
2020-02-26,104.44,109.31,104,105.81,1532793
2020-02-27,104.79,105.27,100.72,100.79,1035284
2020-02-28,98.66,103.22,97.2837,102.96,997696
2020-03-02,102.93,104.13,99.5,103.83,644371
2020-03-03,103.43,105.33,99.41,100.21,530694
2020-03-04,102.5,103.38,99.53,103.25,555093
2020-03-05,100.9,103.91,100.53,101.22,297623
2020-03-06,99.99,101.17,96.11,98.26,1257229
2020-03-09,93.67,94.97,90.88,91.29,672630
2020-03-10,94.93,100.99,92.61,100.49,807004
2020-03-11,98.38,99.44,92.12,93.99,571782
2020-03-12,88.19,91.64,84.89,86.14,1510249
2020-03-13,90.21,92.06,83.47,91.91,884175
2020-03-16,83.69,86.775,78.56,79.43,1053258
2020-03-17,81.32,82.66,76.85,80.56,1470542
2020-03-18,75.91,82.29,75.58,79.39,793498
2020-03-19,79.15,84.87,77.7,83.62,841632
2020-03-20,83.72,86.86,81.67,83.14,714211
2020-03-23,82.81,84.63,79.19,83.95,670566
2020-03-24,87.91,89.98,84.705,88.04,633549
2020-03-25,87.95,94.165,86,90.54,916633
2020-03-26,91.29,94.95,89.5,92.02,516222
2020-03-27,88.86,93.415,88.54,91.32,602249
2020-03-30,92.83,97.25,90.68,97.07,542385
2020-03-31,96.42,96.68,92.16,94.825,614554
2020-04-01,93.35,96.48,89.89,93.9,583356
2020-04-02,92.65,93.9,91.17,93.53,878200
2020-04-03,92.63,94.97,91.86,92.74,724543
2020-04-06,94.39,96.36,93.29,95.76,777241
2020-04-07,97.31,98.1,93.48,95.06,794567
2020-04-08,95.48,97.15,94.09,96.59,426614
2020-04-09,97.11,98,95.19,95.87,454371
2020-04-13,95.56,98.61,95.21,98.25,482502
2020-04-14,99,99.98,97.85,99.01,589706
2020-04-15,97.05,98.93,95.075,97.41,410897
2020-04-16,98.69,98.69,94.26,97.27,608308
2020-04-17,99.42,105.3,97.9574,104.62,784207
2020-04-20,104.08,108.68,103.05,106.44,624235
2020-04-21,105.02,106.1,103.26,104,578326
2020-04-22,105.97,109.43,105.22,108.07,603808
2020-04-23,108.92,110.97,106.6098,109.99,380435
2020-04-24,110.82,111.98,107.4007,111.21,1272243
2020-04-27,111.91,112.78,111.045,111.58,474843
2020-04-28,112.79,113.45,109.38,109.74,632485
2020-04-29,107.84,113.48,104.66,107.97,760706
2020-04-30,108.18,112.09,105.87,109.56,1345462
2020-05-01,108,110.13,106.89,109.12,477389
2020-05-04,108.88,111.92,107.415,111.91,901547
2020-05-05,114.96,116.12,110.75,111.56,490259
2020-05-06,113.27,115.39,112.31,112.96,386257
2020-05-07,114.79,114.79,111.84,111.98,764709
2020-05-08,114,114.57,112.705,113.43,310515
2020-05-11,112.69,116.32,112.69,115.66,1028009
2020-05-12,117.66,118.9,114.15,114.25,600410
2020-05-13,114.01,116.74,112.09,113.08,355368
2020-05-14,112.1,114.14,111.34,113.43,388821
2020-05-15,113.42,117,112.53,116.36,686058
2020-05-18,118.24,119.78,117.42,119.26,1045355
2020-05-19,120.58,124.78,118.43,118.44,923043
2020-05-20,120.24,121,118.62,120.18,654384
2020-05-21,119.92,119.92,116.8,117.2,817329
2020-05-22,117.33,117.98,116.32,117.57,679745
2020-05-26,119.44,121.35,117.66,118.45,737595
2020-05-27,118.7,119.285,113.395,116.81,480192
2020-05-28,117.54,118.72,114.54,115,500010
2020-05-29,115.72,118.19,113.9,117.95,543219
2020-06-01,117.74,120.995,116.71,120.28,529748
2020-06-02,119.65,123.845,118.37,123.06,841377
2020-06-03,122.88,125.94,122.215,125.7,753979
2020-06-04,124.43,125.835,121.78,122.42,1093869
2020-06-05,123.78,125.035,122.05,123.64,446854
2020-06-08,122.98,125.93,122.98,125.82,462662
2020-06-09,124.81,127.305,124.2,124.53,463400
2020-06-10,124.14,125.26,122.77,122.86,402069
2020-06-11,120.2,120.6184,115.86,116.3,552068
2020-06-12,117.94,118.565,113.4,115.42,520087
