Date,Open,High,Low,Close,Volume
2012-04-26,7.35,7.49,7.31,7.45,22488120
2012-04-27,7.44,7.49,7.22,7.33,17785723
2012-04-30,7.3,7.46,7.3,7.36,13328230
2012-05-01,7.34,7.64,7.31,7.59,18849970
2012-05-02,7.51,7.65,7.47,7.63,14124575
2012-05-03,7.57,7.72,7.37,7.41,15769356
2012-05-04,7.35,7.4,7.13,7.18,12320894
2012-05-07,7.13,7.32,7.13,7.18,10558210
2012-05-08,7.1,7.12,6.9,7.03,12569121
2012-05-09,6.9,6.96,6.72,6.86,19308545
2012-05-10,6.58,6.85,6.48,6.78,26548428
2012-05-11,6.73,7.03,6.72,6.78,17698772
2012-05-14,6.69,6.89,6.63,6.75,13394571
2012-05-15,6.76,6.82,6.53,6.6,12501406
2012-05-16,6.66,6.76,6.39,6.39,17262602
2012-05-17,6.37,6.42,6.11,6.13,22929215
2012-05-18,6.19,6.29,6,6.01,14979840
2012-05-21,6.1,6.34,6.06,6.3,16379175
2012-05-22,6.17,6.27,6.08,6.16,12602581
2012-05-23,5.98,6.08,5.89,6.08,19701258
2012-05-24,6.07,6.1,5.96,6.02,8088081
2012-05-25,6.02,6.22,5.99,6.22,10026498
2012-05-29,6.23,6.46,6.22,6.46,16984755
2012-05-30,6.35,6.39,6.15,6.15,18308575
2012-05-31,6.12,6.14,5.93,6.08,19853735
2012-06-01,5.9,5.9,5.63,5.73,25559242
2012-06-04,5.76,5.83,5.52,5.63,15579156
2012-06-05,5.66,5.84,5.64,5.83,12256378
2012-06-06,5.91,6.1,5.91,6.02,16972380
2012-06-07,6.1,6.14,5.72,5.76,17448514
2012-06-08,5.73,5.92,5.71,5.91,7582083
2012-06-11,6.01,6.02,5.68,5.69,11841237
2012-06-12,5.76,5.92,5.75,5.91,12517359
2012-06-13,5.89,5.95,5.75,5.76,12582999
2012-06-14,5.75,5.81,5.7,5.76,8485736
2012-06-15,5.77,5.88,5.73,5.87,9292697
2012-06-18,5.85,6,5.8,5.93,11949994
2012-06-19,5.93,6,5.8,5.81,21247320
2012-06-20,5.87,6.09,5.79,6.06,23323545
2012-06-21,6.04,6.04,5.71,5.72,17212920
2012-06-22,5.77,5.82,5.63,5.73,15996559
2012-06-25,5.64,5.64,5.38,5.41,16920627
2012-06-26,5.44,5.5,5.39,5.44,10162933
2012-06-27,5.47,5.53,5.4,5.5,10065941
2012-06-28,5.45,5.47,5.32,5.41,11535610
2012-06-29,5.59,5.73,5.58,5.73,20966045
